organizer_id,organizer_name,organizer_email,organizer_phone,organizer_website,events_count,events_list,first_event,last_event,contact_priority
info,sportsfacilities,info@sportsfacilities.com.ar,+54 1146862070,https://raceseries.newbalance.com.ar/,32,Medio Maratón New Balance Buenos Aires; NB Maratón de Mar del Plata 2023; NB 15K Córdoba 2023; NB 30K Buenos Aires 2023; NB 15K Rosario 2023,Medio Maratón New Balance Buenos Aires,Conferencia prensa NB 25K Buenos Aires 2025,Alta
info,maratondemendoza,info@maratondemendoza.com,+54 01146862070,https://maratondemendoza.com/,4,Maratón Internacional de Mendoza 2023; Maratón de Mendoza 2024; Maratón de Mendoza 2025; Cena MIM Wine & Dinner,Maratón Internacional de Mendoza 2023,Cena MIM Wine & Dinner,Alta
info,mediamaratondemendoza,info@mediamaratondemendoza.com,+54 Sin telefono,https://mediamaratondemendoza.com/,3,Media Maratón Ciudad de Mendoza 2023; Media Maratón Ciudad de Mendoza 2024; Media Maratón Ciudad de Mendoza 2025,Media Maratón Ciudad de Mendoza 2023,Media Maratón Ciudad de Mendoza 2025,Alta
info,sportsfacilities,info@sportsfacilities.com.ar,+54 1146862070,https://wnr.com.ar/,3,Women Night Run 2023; Women Night Run 2024; Women Night Run 2025,Women Night Run 2023,Women Night Run 2025,Alta
info,krosario,info@21krosario.com.ar,+54 Sin número,https://21krosario.com.ar/,3,Medio Maratón ASICS Ciudad de Rosario 2023; Media Maratón Rosario 2024; Media Maratón Rosario 2025,Medio Maratón ASICS Ciudad de Rosario 2023,Media Maratón Rosario 2025,Alta
info,krosario,info@42krosario.com.ar,+54 1146862070,https://42krosario.com.ar/,3,Maratón Internacional de la Bandera 2023; Maratón Internacional de la Bandera 2024; Maratón Internacional de la Bandera 2025,Maratón Internacional de la Bandera 2023,Maratón Internacional de la Bandera 2025,Alta
info,sportsfacilities,info@sportsfacilities.com.ar,+54 1146862070,https://mediamaratonlaplata.com.ar/,3,Media Maratón Ciudad de La Plata 2023; Media Maratón Ciudad de La Plata 2024; Media Maratón Ciudad de La Plata 2025,Media Maratón Ciudad de La Plata 2023,Media Maratón Ciudad de La Plata 2025,Alta
rosanasiri,armstrong,rosanasiri@armstrong.gov.ar,+54 3471680127,https://armstrong.gov.ar/,3,Maratón Delfo Cabrera 2023; Maratón Delfo Cabrera 2024; Maratón Delfo Cabrera 2025,Maratón Delfo Cabrera 2023,Maratón Delfo Cabrera 2025,Alta
info,sportsfacilities,info@sportsfacilities.com.ar,+54 1146862070,https://9kindependencia.com.ar/,3,9K Independencia 2023; 9K Independencia 2024; 9K Independencia 2025,9K Independencia 2023,9K Independencia 2025,Alta
info,sportsfacilities,info@sportsfacilities.com.ar,+54 46862070,https://bimboglobalrace.com.ar/,3,Bimbo Global Race 2023; Bimbo Global Race 2024; Bimbo Global Race 2025,Bimbo Global Race 2023,Bimbo Global Race 2025,Alta
info,crossports,info@crossports.com.ar,+54 Sin numero,https://www.crossports.com.ar/,3,Duatlon Buenos Aires Mayo 2024; Duatlon Buenos Aires Junio 2024; Duatlon Buenos Aires Agosto 2024,Duatlon Buenos Aires Mayo 2024,Duatlon Buenos Aires Agosto 2024,Alta
info,sansilvestrebuenosaires,info@sansilvestrebuenosaires.com,+54 +541146862070,https://sansilvestrebuenosaires.com/,2,San Silvestre Buenos Aires 2022; San Silvestre 2024,San Silvestre Buenos Aires 2022,San Silvestre 2024,Alta
info,crossports,info@crossports.com.ar,+54 Sin telefono,http://www.crossports.com.ar/duatlon2023/,2,Duatlon Buenos Aires Mayo 2023; Duatlon Buenos Aires Julio 2023,Duatlon Buenos Aires Mayo 2023,Duatlon Buenos Aires Julio 2023,Alta
urku_trailrunning,gmail,urku.trailrunning@gmail.com,+54 Sin telefono,https://urku.com.ar/,2,Jujuy Corre 2023; Jujuy Corre 2024,Jujuy Corre 2023,Jujuy Corre 2024,Alta
info,sportsfacilities,info@sportsfacilities.com.ar,+54 1146862070,https://halloweenrun.com.ar/,2,Halloween Run 2023; Halloween Run 2024,Halloween Run 2023,Halloween Run 2024,Alta
info,sportsfacilities,info@sportsfacilities.com.ar,+54 1146862070,https://nocturnabuenosaires.com.ar/,2,Nocturna Buenos Aires 2023; Nocturna Buenos Aires 2024,Nocturna Buenos Aires 2023,Nocturna Buenos Aires 2024,Alta
info,sportsfacilities,info@sportsfacilities.com.ar,+54 1146862070,https://5kracingclub.com.ar/,2,Racing Club 2023; Racing Club 2024,Racing Club 2023,Racing Club 2024,Alta
